Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
13GS	10.7268	10.7268	0.0000	0.0000
2DDA7Ptm	-4.4983	0.0000	-57.3887	-55.1520
ACCOAC	3.7583	3.7583	0.0000	0.0000
AGPRim	3.0759	3.0759	0.0000	0.0000
AHSERL2	0.5416	0.5416	0.0000	0.0000
ACGKm	3.0759	3.0759	0.0000	0.0000
2OBUTtm	1.8215	1.8215	-112.3460	0.0000
2OXOADPtim	2.7053	2.7053	0.0000	0.0000
ACHBSm	1.8215	1.8215	0.0000	0.0000
ACLSm	5.3029	5.3029	0.0000	0.0000
AICART	1.5624	1.5624	0.0000	0.0000
AIRCr	0.9357	0.9357	0.0000	0.0000
AKGDam	72.7048	72.7048	0.0000	11.1193
AKGDbm	72.7048	72.7048	0.0000	11.1193
ACOTAim	3.0759	3.0759	0.0000	0.0000
ACS	4.8293	4.8293	0.0000	0.0000
ALDD2y	4.2877	4.2877	0.0000	0.0000
ADSK	0.5416	0.5416	0.0000	0.0000
ADSL1r	1.0956	1.0956	0.0000	0.0000
ADSL2r	0.9357	0.9357	0.0000	0.0000
ADSS	1.0956	1.0956	0.0000	0.0000
ATPtm_H	575.2998	575.2998	-355.9295	210.4887
BPNT	0.5416	0.5416	0.0000	0.0000
ARGSL	1.5190	1.5190	0.0000	0.0000
ARGSS	1.5190	1.5190	0.0000	0.0000
ASNS1	0.9613	0.9613	0.0000	0.0000
ASPCT	1.0455	1.0455	0.0000	0.0000
ASPK	4.1100	4.1100	0.0000	0.0000
CBPS	2.5645	2.5645	0.0000	0.0000
ATPPRT	0.6267	0.6267	0.0000	0.0000
CSm	82.3350	82.3350	0.0000	11.1193
DHAD1m	5.3029	5.3029	0.0000	0.0000
DHAD2m	1.8215	1.8215	0.0000	0.0000
CYOOm	234.4525	234.4525	0.0000	89.8441
CYOR_u6m	468.9051	468.9051	-355.9295	179.6882
DOLPMMer	7.6367	7.6367	0.0000	0.0000
DOLPMTcer	7.6367	7.6367	0.0000	0.0000
ENO	135.5556	135.5556	-670.2091	93.8472
EX_h_e	48.5490	48.5490	-1137.1944	27.5760
EX_co2_e	244.2554	244.2554	0.0000	158.7841
AATA	2.7053	2.7053	0.0000	0.0000
FAS100COA	0.5293	0.5293	0.0000	0.0000
FAS120COA	0.5188	0.5188	0.0000	0.0000
G5SADs	1.5568	1.5568	0.0000	0.0000
GLUPRT	0.9357	0.9357	0.0000	0.0000
GLUt7m	61.2946	68.2857	0.0000	11.1193
GAPD	141.6887	141.6887	-364.1111	107.6352
FAS80COA_L	0.5293	0.5293	0.0000	0.0000
GARFT	0.9357	0.9357	0.0000	0.0000
GHMT2rm	-0.2537	-0.2537	-728.5000	-13.7880
GLNS	7.7556	7.7556	-57.3887	0.0000
H2Ot	-365.0445	-365.0445	-1137.1944	-379.3920
HCITSm	2.7053	2.7053	0.0000	0.0000
HACNHm	2.7053	2.7053	0.0000	0.0000
HICITDm	2.7053	2.7053	0.0000	0.0000
HISTD	0.6267	0.6267	0.0000	0.0000
HISTP	0.6267	0.6267	0.0000	0.0000
IPMD	2.8017	2.8017	0.0000	0.0000
HSERTA	0.5416	0.5416	0.0000	0.0000
HSK	3.5683	3.5683	0.0000	0.0000
HSTPT	0.6267	0.6267	0.0000	0.0000
IPPSm	2.8017	2.8017	0.0000	0.0000
