Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
AHCi	1.1768	1.1768	27.5760	547.1944
3C3HMPtm	-2.8017	-2.8017	0.0000	-0.0000
ADNK1	1.1768	1.1768	27.5760	1639.5833
ASAD	-4.1100	-4.1100	0.0000	-0.0000
CHORM	3.2299	3.2299	27.5760	56.3887
CHORS	3.4983	3.4983	27.5760	67.7776
CO2t	-244.2554	-244.2554	-158.7841	-0.0000
CITtam	-72.1348	-60.6454	-11.1193	68.2572
DDPA	0.0000	4.4983	0.0000	137.5552
DHORTS	-1.0455	-1.0455	0.0000	-0.0000
DHQS	4.4983	4.4983	55.1520	68.7776
DHQTi	4.4983	4.4983	55.1520	137.5552
DOLPt2er	-7.6367	-7.6367	-0.0000	-0.0000
EX_h2o_e	365.0445	365.0445	379.3920	1044.0230
EX_so4_e	-0.7307	-0.7307	-0.0000	-0.0000
EX_nh4_e	-53.9009	-53.9009	-27.5760	-1.0000
EX_o2_e	-234.9794	-234.9794	-89.8441	-0.0000
EX_pi_e	-1.8688	-1.8688	0.0000	-0.0000
GLYt2m	0.5074	0.5074	27.5760	728.5000
GND	0.0274	0.0274	56.4864	581.5000
GHMT2r	4.1882	4.1882	27.5760	216.4629
IMPC	-1.5624	-1.5624	0.0000	192.5000
IPPMIa	-2.8017	-2.8017	-0.0000	-0.0000
IPPMIb	-2.8017	-2.8017	-0.0000	-0.0000
LEUTA	-2.8017	-2.8017	0.0000	-0.0000
MAN6PI	-7.6367	-7.6367	-0.0000	-0.0000
MANNANter	-7.6367	-7.6367	0.0000	-0.0000
METAT	1.1768	1.1768	27.5760	547.1944
MTHFR3	1.6560	1.6560	27.5760	85.9001
METS	1.6560	1.6560	27.5760	85.9001
PGCD	6.1331	6.1331	13.7880	754.5909
PGK	-141.6887	-141.6887	-107.6352	364.1111
PGL	0.0274	0.0274	56.4864	581.5000
PGM	-135.5556	-135.5556	-93.8472	670.2091
PGMT	-15.8491	-15.8491	0.0000	-0.0000
PHETA1	-1.2657	-1.2657	0.0000	-0.0000
ORPT	-1.0455	-1.0455	-0.0000	-0.0000
PMANM	-7.6367	-7.6367	-0.0000	-0.0000
RPE	-3.4112	-3.4112	19.2736	387.0000
SUCOASm	-72.7048	-72.7048	-11.1193	-0.0000
SHK3Dr	3.4983	3.4983	27.5760	67.7776
SHKK	3.4983	3.4983	27.5760	67.7776
PSCVT	3.4983	3.4983	27.5760	67.7776
TKT1	0.5436	0.5436	37.2128	194.5000
TKT2	-3.9548	-3.9548	-17.9392	192.5000
PSERT	6.1331	6.1331	13.7880	1509.1818
PSP_L	6.1331	6.1331	13.7880	1509.1818
added_3dhsk_34dhbz	1.0000	1.0000	27.5760	27.5760
added_34dhbz_34dhbald	1.0000	1.0000	27.5760	27.5760
added_tyr__L_tym	1.0000	1.0000	27.5760	27.5760
added_tym_34dhbald_norcrg	1.0000	1.0000	27.5760	27.5760
added_norcrg_norbell	1.0000	1.0000	27.5760	27.5760
added_norbell_4omet	1.0000	1.0000	27.5760	27.5760
added_aux_4omet	1.0000	1.0000	27.5760	27.5760
