Reactions	Min Flux in Wild-type strain	Max Flux in Wild-type strain	Min Flux in Mutant strain	Max Flux in Mutant strain
R21	16.0264	145.2048	155.5000	175.0000
R22	16.0264	145.2048	155.5000	175.0000
R23	0.9344	130.1128	155.5000	175.0000
R24	-5.6736	123.5048	155.5000	175.0000
R33	0.0000	84.8467	88.8571	282.6087
R34	0.0000	84.8467	88.8571	282.6087
R35	0.0000	175.1064	188.5000	336.3636
R36	0.0000	175.1064	188.5000	336.3636
R69	0.0000	175.1064	188.5000	336.3636
EX_pdo	0.0000	175.1064	188.5000	336.3636
EX_nh3	-97.4820	-97.4820	-0.0000	-0.0000
EX_so4	-3.2620	-3.2620	-0.0000	-0.0000
SUCt	0.0000	105.4230	155.5000	155.5556
