Number of interventions	Set number	Force Set	Type of regulation	Min Flux in Wild-type(mmol/gDW hr)	Max Flux in Wild-type (mmol/gDW hr)	Min Flux in Mutant (mmol/gDW hr)	Max Flux in Mutant (mmol/gDW hr)	Achieved flux (mmol/gDW hr)	Objective function (mmol/gDW hr)	Minimum guaranteed for target (mmol/gDW hr)	Maximum guaranteed for target (mmol/gDW hr)	Maximum growth rate (1/hr)
2	1	{R23, R63}	{upregulation, knockout}	{0.93444, 0}	{130.1128, 118.0576}	{155.55, 0}	{155.5562, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	0.0021
2	2	{R23, R25}	{upregulation, knockout}	{0.93444, 0}	{130.1128, 118.0576}	{155.55, 0}	{155.5562, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	0.0021
2	3	{R22, R63}	{upregulation, knockout}	{16.0264, 0}	{145.2048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.5556, 0}	155.5556	155.5556	155.5556	-0.0000
2	4	{R23, R26}	{upregulation, knockout}	{0.93444, 5.194}	{130.1128, 123.2516}	{155.55, 0}	{155.5562, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	-0.0000
2	5	{R21, R63}	{upregulation, knockout}	{16.0264, 0}	{145.2048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5463	155.5463	0.0035
2	6	{R24, R25}	{upregulation, knockout}	{-5.6736, 0}	{123.5048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5508	155.5508	0.0018
2	7	{R21, R25}	{upregulation, knockout}	{16.0264, 0}	{145.2048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5463	155.5463	0.0035
2	8	{R22, R26}	{upregulation, knockout}	{16.0264, 5.194}	{145.2048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	-0.0000
2	9	{R21, R26}	{upregulation, knockout}	{16.0264, 5.194}	{145.2048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	-0.0000
2	10	{R22, R25}	{upregulation, knockout}	{16.0264, 0}	{145.2048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5463	155.5463	0.0035
2	11	{R24, R63}	{upregulation, knockout}	{-5.6736, 0}	{123.5048, 118.0576}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5508	155.5508	0.0018
2	12	{R24, R26}	{upregulation, knockout}	{-5.6736, 5.194}	{123.5048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0}	155.5500	155.5500	155.5500	-0.0000
2	13	{R23, R26}	{upregulation, downregulation}	{0.93444, 5.194}	{130.1128, 123.2516}	{155.55, 0}	{155.5562, 0.00625}	{155.55, 0.00625}	155.5438	155.5446	155.5446	0.0023
2	14	{R21, R26}	{upregulation, downregulation}	{16.0264, 5.194}	{145.2048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0.00625}	155.5438	155.5411	155.5411	0.0038
2	15	{R22, R26}	{upregulation, downregulation}	{16.0264, 5.194}	{145.2048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0.00625}	155.5438	155.5411	155.5411	0.0038
2	16	{R24, R26}	{upregulation, downregulation}	{-5.6736, 5.194}	{123.5048, 123.2516}	{155.55, 0}	{155.5563, 0.00625}	{155.55, 0.00625}	155.5438	155.5454	155.5454	0.0020
2	17	{R21, R4}	{upregulation, knockout}	{16.0264, -56.1567}	{145.2048, 86.07}	{155.55, -44.45}	{155.5563, 11.1143}	{155.55, 2.8422e-14}	139.9900	113.0145	113.0145	2.7483
2	18	{R23, R4}	{upregulation, knockout}	{0.93444, -56.1567}	{130.1128, 86.07}	{155.55, -44.45}	{155.5562, 11.1143}	{155.55, 0}	139.9900	132.4226	132.4226	0.9610
2	19	{R24, R4}	{upregulation, knockout}	{-5.6736, -56.1567}	{123.5048, 86.07}	{155.55, -44.45}	{155.5563, 11.1143}	{155.55, 0}	139.9900	134.7354	134.7354	0.7480
2	20	{R22, R4}	{upregulation, knockout}	{16.0264, -56.1567}	{145.2048, 86.07}	{155.55, -44.45}	{155.5563, 11.1143}	{155.55, 0}	139.9900	113.0145	113.0145	2.7483
