Abbreviation,Description,Charged formula,Charge,Compartment
2dr5p_c[u],2-Deoxy-D-ribose 5-phosphate,C5H9O7P,-2,Unknown
2hb_c[u],2 Hydroxybutyrate C4H7O3,C4H7O3,-1,Unknown
2hb_e[u],2 Hydroxybutyrate C4H7O3,C4H7O3,-1,Unknown
2hhxdal_c[u],2 Hydroxy hexadecanal C16H32O2,C16H32O2,0,Unknown
2hp6mbq_m[u],2 Hexaprenyl 6 methoxy 1 4 benzoquinone C37H54O3,C37H54O3,0,Unknown
2hp6mp_m[u],2 Hexaprenyl 6 methoxyphenol C37H56O2,C37H56O2,0,Unknown
2hpmhmbq_m[u],2 hexaprenyl 3 methyl 5 hydroxy 6 methoxy 1 4 benzoquinone C38H56O4,C38H56O4,0,Unknown
2hpmmbq_m[u],2 hexaprenyl 3 methyl 6 methoxy 1 4 benzoquinone C38H56O3,C38H56O3,0,Unknown
2ippm_c[u],2-Isopropylmaleate,C7H8O4,-2,Unknown
2kmb_c[u],2-keto-4-methylthiobutyrate,C5H7O3S,-1,Unknown
2mahmp_c[u],2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate,C6H8N3O7P2,-3,Unknown
2mbac_c[u],2 methylbutyl acetate C7H14O2,C7H14O2,0,Unknown
2mbac_e[u],2 methylbutyl acetate C7H14O2,C7H14O2,0,Unknown
2mbald_c[u],2 methylbutyraldehyde C5H10O,C5H10O,0,Unknown
2mbald_e[u],2 methylbutyraldehyde C5H10O,C5H10O,0,Unknown
2mbald_m[u],2 methylbutyraldehyde C5H10O,C5H10O,0,Unknown
2mbtoh_c[u],2 methyl 1 butanol C5H12O,C5H12O,0,Unknown
2mbtoh_e[u],2 methyl 1 butanol C5H12O,C5H12O,0,Unknown
2mbtoh_m[u],2 methyl 1 butanol C5H12O,C5H12O,0,Unknown
2mcit_m[u],2-Methylcitrate,C7H7O7,-3,Unknown
2mppal_c[u],2 methylpropanal C4H8O,C4H8O,0,Unknown
2mppal_e[u],2 methylpropanal C4H8O,C4H8O,0,Unknown
2mppal_m[u],2 methylpropanal C4H8O,C4H8O,0,Unknown
2obut_c[u],2-Oxobutanoate,C4H5O3,-1,Unknown
2obut_m[u],2-Oxobutanoate,C4H5O3,-1,Unknown
2oxoadp_c[u],2 Oxoadipate C6H6O5,C6H6O5,-2,Unknown
2oxoadp_m[u],2 Oxoadipate C6H6O5,C6H6O5,-2,Unknown
2pg_c[u],D-Glycerate 2-phosphate,C3H4O7P,-3,Unknown
2phetoh_c[u],2 phenylethanol C8H10O,C8H10O,0,Unknown
2phetoh_e[u],2 phenylethanol C8H10O,C8H10O,0,Unknown
2phetoh_m[u],2 phenylethanol C8H10O,C8H10O,0,Unknown
10fthf_c[u],10-Formyltetrahydrofolate,C20H21N7O7,-2,Unknown
34hpl_m[u],3  4 Hydroxyphenyl lactate C9H9O4,C9H9O4,-1,Unknown
34hpp_c[u],3-(4-Hydroxyphenyl)pyruvate,C9H7O4,-1,Unknown
34hpp_m[u],3-(4-Hydroxyphenyl)pyruvate,C9H7O4,-1,Unknown
10fthf_m[u],10-Formyltetrahydrofolate,C20H21N7O7,-2,Unknown
4fumacac_c[u],4 Fumarylacetoacetate C8H6O6,C8H6O6,-2,Unknown
34hpp_x[u],3-(4-Hydroxyphenyl)pyruvate,C9H7O4,-1,Unknown
35ccmp_c[u],3  5  Cyclic CMP C9H11N3O7P,C9H11N3O7P,-1,Unknown
