Rxn name	Formula	Gene-reaction association	LB	UB	Objective
CITtcp	cit_c + icit_x  <=> cit_x + icit_c 		-999999.00	999999.00	  0.00
13BGH	13BDglcn_c + h2o_c  -> glc__D_c 	YGR282C	  0.00	999999.00	  0.00
13BGHe	13BDglcn_e + h2o_e  -> glc__D_e 	YOR190W or YDR261C or YLR300W	  0.00	999999.00	  0.00
13GS	udpg_c  -> 13BDglcn_c + h_c + udp_c 	(( YCR034W and YGR032W ) and YLR343W ) or (( YCR034W and YGR032W ) and YMR215W ) or (( YCR034W and YMR306W ) and YMR215W ) or (( YCR034W and YLR342W ) and YOL132W ) or (( YCR034W and YMR306W ) and YOL132W ) or (( YCR034W and YGR032W ) and YOL030W ) or (( YCR034W and YLR342W ) and YOL030W ) or (( YCR034W and YMR306W ) and YOL030W ) or (( YCR034W and YLR342W ) and YLR343W ) or (( YCR034W and YMR306W ) and YLR343W ) or (( YCR034W and YGR032W ) and YOL132W ) or (( YCR034W and YLR342W ) and YMR215W ) or (( YCR034W and YGR032W ) and YMR307W ) or (( YCR034W and YLR342W ) and YMR307W ) or (( YCR034W and YMR306W ) and YMR307W )	  0.00	999999.00	  0.00
16GS	udpg_c  -> 16BDglcn_c + h_c + udp_c 	YPR159W or YGR143W	  0.00	999999.00	  0.00
23CAPPD	23camp_c + h2o_c + h_c  -> amp2p_c 	YGR247W	  0.00	999999.00	  0.00
2DDA7Ptm	2dda7p_c  <=> 2dda7p_m 		-999999.00	999999.00	  0.00
2DHPtm	2dhp_c  <=> 2dhp_m 		-999999.00	999999.00	  0.00
2DOXG6PP	2doxg6p_c + h2o_c  -> 2dglc_c + pi_c 	YHR044C or YHR043C	  0.00	999999.00	  0.00
2HBO	2hb_c + nad_c  <=> 2obut_c + h_c + nadh_c 		-999999.00	999999.00	  0.00
2HBt2	2hb_e + h_e  <=> 2hb_c + h_c 		-999999.00	999999.00	  0.00
2HMHMBQMTm	2hpmhmbq_m + amet_m  -> ahcys_m + h_m + q6_m 	YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C	  0.00	999999.00	  0.00
2HP6MPMOm	2hp6mp_m + o2_m  -> 2hp6mbq_m + h2o_m 	YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C	  0.00	999999.00	  0.00
2HPMBQMTm	2hp6mbq_m + amet_m  -> 2hpmmbq_m + ahcys_m + h_m 	YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C	  0.00	999999.00	  0.00
2HPMMBQMOm	2hpmmbq_m + 0.5 o2_m  -> 2hpmhmbq_m 	YOL096C and YDR204W and YML110C and YGR255C and YOR125C and YGL119W and YLR201C	  0.00	999999.00	  0.00
2MBACt	2mbac_c  -> 2mbac_e 		  0.00	999999.00	  0.00
EX_epistest_SC_e	epistest_SC_e  -> 		  0.00	999999.00	  0.00
EX_epist_e	epist_e  -> 		  0.00	999999.00	  0.00
2MBALDt	2mbald_c  <=> 2mbald_e 		-999999.00	999999.00	  0.00
2MBALDtm	2mbald_c  <=> 2mbald_m 		-999999.00	999999.00	  0.00
2MBTOHt	2mbtoh_c  <=> 2mbtoh_e 		-999999.00	999999.00	  0.00
ACACT6p	3otdcoa_x + coa_x  -> accoa_x + ddcacoa_x 	YIL160C	  0.00	999999.00	  0.00
2MBTOHtm	2mbtoh_c  <=> 2mbtoh_m 		-999999.00	999999.00	  0.00
ACACT7p	3ohdcoa_x + coa_x  -> accoa_x + tdcoa_x 	YIL160C	  0.00	999999.00	  0.00
2MPPALt	2mppal_c  <=> 2mppal_e 		-999999.00	999999.00	  0.00
ACACT8p	3ohodcoa_x + coa_x  -> accoa_x + pmtcoa_x 	YIL160C	  0.00	999999.00	  0.00
ACACT9p	3ohxccoa_x + coa_x  -> accoa_x + ttccoa_x 	YIL160C	  0.00	999999.00	  0.00
ACALDCD	2 acald_c  -> actn__R_c 	YLR044C or YGR087C or YLR134W	  0.00	999999.00	  0.00
ACALDt	acald_e  <=> acald_c 		-999999.00	999999.00	  0.00
ACALDtm	acald_m  <=> acald_c 		-999999.00	999999.00	  0.00
ACCOAC	accoa_c + atp_c + hco3_c  <=> adp_c + h_c + malcoa_c + pi_c 	YNR016C	-999999.00	999999.00	  0.00
ACCOACrm	accoa_m + atp_m + hco3_m  <=> adp_m + h_m + malcoa_m + pi_m 	YMR207C	-999999.00	999999.00	  0.00
AGAT_SC	0.01 1ag3p_SC_c + 0.02 dcacoa_c + 0.06 ddcacoa_c + 0.17 hdcoa_c + 0.27 pmtcoa_c + 0.09 ocdycacoa_c + 0.24 odecoa_c + 0.05 stcoa_c + 0.1 tdcoa_c  -> coa_c + 0.01 pa_SC_c 	YDL052C or UNKNOWN	  0.00	999999.00	  0.00
AGPRim	acg5p_m + h_m + nadph_m  -> acg5sa_m + nadp_m + pi_m 	YER069W	  0.00	999999.00	  0.00
AGTi	ala__L_c + glx_c  -> gly_c + pyr_c 	YFL030W	  0.00	999999.00	  0.00
AHCYStm	ahcys_c  <=> ahcys_m 		-999999.00	999999.00	  0.00
ACCOAtn	accoa_c  <=> accoa_n 		-999999.00	999999.00	  0.00
2MPPALtm	2mppal_c  <=> 2mppal_m 		-999999.00	999999.00	  0.00
ACESt	aces_c  -> aces_e 		  0.00	999999.00	  0.00
ACGAM6PS	accoa_c + gam6p_c  <=> acgam6p_c + coa_c + h_c 	YFL017C	-999999.00	999999.00	  0.00
AHCi	ahcys_c + h2o_c  -> adn_c + hcys__L_c 	YER043C	  0.00	999999.00	  0.00
AHMMPS	air_c + 2 h_c  -> 4ahmmp_c + gcald_c + pi_c 		  0.00	999999.00	  0.00
AHSERL	achms_c + ch4s_c  -> ac_c + h_c + met__L_c 	YLR303W	  0.00	999999.00	  0.00
AHSERL2	achms_c + h2s_c  -> ac_c + h_c + hcys__L_c 	YLR303W	  0.00	999999.00	  0.00
ACGAMPM	acgam6p_c  <=> acgam1p_c 	YEL058W	-999999.00	999999.00	  0.00
ACGKm	acglu_m + atp_m  -> adp_m + acg5p_m 	YER069W	  0.00	999999.00	  0.00
2OBUTtm	2obut_c  <=> 2obut_m 		-999999.00	999999.00	  0.00
ACGSm	accoa_m + glu__L_m  -> acglu_m + coa_m + h_m 	YMR062C or YJL071W	  0.00	999999.00	  0.00
2OXOADPtim	2oxoadp_m  -> 2oxoadp_c 		  0.00	999999.00	  0.00
ACHBSm	2obut_m + h_m + pyr_m  -> 2ahbut_m + co2_m 	YCL009C and YMR108W	  0.00	999999.00	  0.00
ACHLE1	iamac_c + h2o_c  -> ac_c + iamoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
2PHETOHt	2phetoh_e  <=> 2phetoh_c 		-999999.00	999999.00	  0.00
ACHLE2	ibutac_c + h2o_c  -> ac_c + ibutoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
ACHLE3	aces_c + h2o_c  -> ac_c + etoh_c + h_c 	YOR126C	  0.00	999999.00	  0.00
ACLSm	h_m + 2 pyr_m  -> alac__S_m + co2_m 	YCL009C and YMR108W	  0.00	999999.00	  0.00
2PHETOHtm	2phetoh_m  <=> 2phetoh_c 		-999999.00	999999.00	  0.00
ACOAHim	accoa_m + h2o_m  -> ac_m + coa_m + h_m 	YBL015W	  0.00	999999.00	  0.00
34HPLFM	34hpp_m + h_m + nadh_m  -> 34hpl_m + nad_m 		  0.00	999999.00	  0.00
ACOAO4p	dcacoa_x + o2_x  -> dc2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
AICART	10fthf_c + aicar_c  <=> fprica_c + thf_c 	YLR028C or YMR120C	-999999.00	999999.00	  0.00
AIRCr	air_c + co2_c  <=> 5aizc_c + h_c 	YOR128C	-999999.00	999999.00	  0.00
AKGDam	akg_m + h_m + lpam_m  <=> co2_m + sdhlam_m 	YIL125W and YDR148C and YFL018C	-999999.00	999999.00	  0.00
AKGDbm	coa_m + sdhlam_m  -> dhlam_m + succoa_m 	YIL125W and YDR148C and YFL018C	  0.00	999999.00	  0.00
ACOAO5p	ddcacoa_x + o2_x  -> dd2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO6p	o2_x + tdcoa_x  -> h2o2_x + td2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO7p	o2_x + pmtcoa_x  -> h2o2_x + hdd2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO8p	o2_x + stcoa_x  -> h2o2_x + od2coa_x 	YGL205W	  0.00	999999.00	  0.00
ACOAO9p	hexccoa_x + o2_x  -> hxc2coa_x + h2o2_x 	YGL205W	  0.00	999999.00	  0.00
AKGMAL	akg_c + mal__L_e  <=> akg_e + mal__L_c 		-999999.00	999999.00	  0.00
AKGt2n	akg_c + h_c  <=> akg_n + h_n 		-999999.00	999999.00	  0.00
AKGt2r	akg_e + h_e  <=> akg_c + h_c 		-999999.00	999999.00	  0.00
34HPPOR	34hpp_c + o2_c  -> co2_c + hgentis_c 		  0.00	999999.00	  0.00
AKGtp	akg_c  <=> akg_x 		-999999.00	999999.00	  0.00
AKP1	ahdt_c + 3 h2o_c  -> dhnpt_c + 2 h_c + 3 pi_c 	YDR481C	  0.00	999999.00	  0.00
ALASm	gly_m + h_m + succoa_m  -> 5aop_m + co2_m + coa_m 	YDR232W	  0.00	999999.00	  0.00
ALATA_L	akg_c + ala__L_c  <=> glu__L_c + pyr_c 	YDR111C	-999999.00	999999.00	  0.00
ALATA_Lm	akg_m + ala__L_m  <=> glu__L_m + pyr_m 	YLR089C	-999999.00	999999.00	  0.00
ACOATA	ACP_c + accoa_c  <=> acACP_c + coa_c 	YKL182W and YPL231W	-999999.00	999999.00	  0.00
ACOATAm	ACP_m + accoa_m  <=> acACP_m + coa_m 	YKL192C and YER061C and YHR067W and YOR221C and YBR026C and YKL055C	-999999.00	999999.00	  0.00
