Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem
CITtcp,Citrateisocitrate antiport into peroxisome,cit_c + icit_x  <=> cit_x + icit_c ,,-999999,999999,0,S_Transport__Peroxisomal
13BGH,Endo 1 3 beta glucan glucohydrase,13BDglcn_c + h2o_c  -> glc__D_c ,YGR282C,0,999999,0,S_Starch_and_Sucrose_Metabolism
13BGHe,Exo 1 3 beta glucan glucohydrase,13BDglcn_e + h2o_e  -> glc__D_e ,YOR190W or YDR261C or YLR300W,0,999999,0,S_Starch_and_Sucrose_Metabolism
13GS,1 3 beta glucan synthase,udpg_c  -> 13BDglcn_c + h_c + udp_c ,(( YCR034W and YGR032W ) and YLR343W ) or (( YCR034W and YGR032W ) and YMR215W ) or (( YCR034W and YMR306W ) and YMR215W ) or (( YCR034W and YLR342W ) and YOL132W ) or (( YCR034W and YMR306W ) and YOL132W ) or (( YCR034W and YGR032W ) and YOL030W ) or (( YCR034W and YLR342W ) and YOL030W ) or (( YCR034W and YMR306W ) and YOL030W ) or (( YCR034W and YLR342W ) and YLR343W ) or (( YCR034W and YMR306W ) and YLR343W ) or (( YCR034W and YGR032W ) and YOL132W ) or (( YCR034W and YLR342W ) and YMR215W ) or (( YCR034W and YGR032W ) and YMR307W ) or (( YCR034W and YLR342W ) and YMR307W ) or (( YCR034W and YMR306W ) and YMR307W ),0,999999,0,S_Alternate_Carbon_Metabolism
16GS,1 6 beta glucan synthase,udpg_c  -> 16BDglcn_c + h_c + udp_c ,YPR159W or YGR143W,0,999999,0,S_Alternate_Carbon_Metabolism
23CAPPD,ADP ribose 2 3 cyclic phosphodiesterase,23camp_c + h2o_c + h_c  -> amp2p_c ,YGR247W,0,999999,0,S_Other
2DDA7Ptm,2 Dehydro 3 deoxy D arabino heptonate7 phohsphate mitochondrial transport via diffusion,2dda7p_c  <=> 2dda7p_m ,,-999999,999999,0,S_Transport__Mitochondrial
2DHPtm,2 Dehydropantoate mitochondrial transport,2dhp_c  <=> 2dhp_m ,,-999999,999999,0,S_Transport__Mitochondrial
2DOXG6PP,2 deoxyglucose 6 phosphatase,2doxg6p_c + h2o_c  -> 2dglc_c + pi_c ,YHR044C or YHR043C,0,999999,0,S_Other
2HBO,2 HydroxybutyrateNAD oxidoreductase,2hb_c + nad_c  <=> 2obut_c + h_c + nadh_c ,,-999999,999999,0,S_Cysteine_Metabolism
